username,event_date,country,user_day_total_length,user_day_count,treatment,post
Balgor18,2023-04-01,france,0,1,0,1
Balgor18,2023-04-02,france,0,2,0,1
Balgor18,2023-04-03,france,213,5,0,1
Balgor18,2023-04-04,france,182,2,0,1
Balgor18,2023-04-05,france,45,6,0,1
Banchio,2023-03-31,italy,602,1,1,0
Banchio,2023-04-07,italy,312,1,1,1
Baptiiiiste,2023-03-29,france,468,2,0,0
BaptisteCecconi,2023-03-31,france,232,1,0,0
BaptisteContreras,2023-03-23,france,0,3,0,0
BaptisteContreras,2023-03-24,france,0,1,0,0
BaptisteContreras,2023-04-05,france,0,4,0,1
BaptisteLecat,2023-03-24,france,0,1,0,0
BaptisteMartinet,2023-03-23,france,268,1,0,0
Baraban511,2023-04-05,france,285,1,0,1
Barbapapazes,2023-03-18,france,113,2,0,0
Barbapapazes,2023-03-20,france,1915,5,0,0
Barbapapazes,2023-04-07,france,32,4,0,1
BarbaraC12,2023-03-25,france,211,1,0,0
BarbaraC12,2023-04-07,france,208,1,0,1
BastLast,2023-03-18,france,244,2,0,0
BastLast,2023-03-20,france,1008,2,0,0
BastLast,2023-03-23,france,0,1,0,0
BastLast,2023-03-24,france,490,1,0,0
BastLast,2023-03-27,france,0,1,0,0
BastLast,2023-03-28,france,1233,5,0,0
BastLast,2023-03-29,france,113,1,0,0
BastLast,2023-03-31,france,177,2,0,0
BastLast,2023-04-04,france,302,1,0,1
BastLast,2023-04-06,france,567,2,0,1
BastianBalthasarBux,2023-03-21,austria,183,1,0,0
BastianBalthasarBux,2023-03-31,austria,172,1,0,0
BatyLeo,2023-04-04,france,80,1,0,1
Beafowl-Pull,2023-03-22,france,425,1,0,0
BeardedBear,2023-04-04,france,260,1,0,1
BeayemX,2023-03-28,austria,366,1,0,0
BeiCunNan,2023-03-24,france,238,1,0,0
Bellisario,2023-03-19,italy,187,1,1,0
Belluxx,2023-03-21,italy,1179,3,1,0
Ben-PH,2023-03-31,france,995,1,0,0
Ben-Rey,2023-03-20,france,0,2,0,0
Ben-Rey,2023-03-21,france,0,1,0,0
Ben-Rey,2023-03-22,france,0,2,0,0
Ben-Rey,2023-03-28,france,1591,5,0,0
Ben-Rey,2023-03-31,france,0,3,0,0
Ben-Rey,2023-04-04,france,177,1,0,1
Ben-Rey,2023-04-05,france,0,1,0,1
Ben-Rey,2023-04-06,france,368,1,0,1
Ben-Rey,2023-04-07,france,808,3,0,1
BenJ4u,2023-03-23,france,676,1,0,0
Benjamin-Loison,2023-03-18,france,566,2,0,0
Benjamin-Loison,2023-03-19,france,567,2,0,0
Benjamin-Loison,2023-03-21,france,670,3,0,0
Benjamin-Loison,2023-03-26,france,0,1,0,0
Benjamin-Loison,2023-03-27,france,115,3,0,0
Benjamin-Loison,2023-03-28,france,0,1,0,0
Benjamin-Loison,2023-04-03,france,103,1,0,1
Benjamin-Loison,2023-04-05,france,316,4,0,1
Benjamin-Loison,2023-04-06,france,54,1,0,1
Benjamin-Loison,2023-04-07,france,493,1,0,1
BenjaminDEMAILLE,2023-03-27,france,1563,1,0,0
BenjaminDEMAILLE,2023-03-29,france,185,1,0,0
BenjaminDEMAILLE,2023-04-05,france,184,2,0,1
Benjiiim,2023-03-29,france,386,1,0,0
Benni0,2023-03-20,austria,620,1,0,0
BenoitPoulet,2023-03-24,france,1501,1,0,0
Berachem,2023-03-23,france,0,1,0,0
BernardMayer,2023-03-20,france,629,1,0,0
Berndinox,2023-03-22,austria,67,1,0,0
Berndinox,2023-03-23,austria,557,1,0,0
BernhardBaumrock,2023-03-26,austria,589,1,0,0
BernhardBaumrock,2023-04-02,austria,808,1,0,1
BernhardBaumrock,2023-04-08,austria,902,1,0,1
BernhardKloibmueller,2023-03-23,austria,890,1,0,0
BertrandBordage,2023-04-04,france,631,1,0,1
Bessouat40,2023-03-26,france,74,1,0,0
Betree,2023-03-20,france,1824,3,0,0
Betree,2023-03-21,france,1351,4,0,0
Betree,2023-03-22,france,807,2,0,0
Betree,2023-03-23,france,1369,1,0,0
Betree,2023-03-24,france,678,2,0,0
Betree,2023-03-28,france,648,1,0,0
Betree,2023-03-29,france,2210,3,0,0
Betree,2023-03-30,france,1105,5,0,0
Betree,2023-03-31,france,368,2,0,0
Betree,2023-04-03,france,208,1,0,1
Betree,2023-04-04,france,162,1,0,1
Betree,2023-04-06,france,825,2,0,1
Betree,2023-04-07,france,3070,5,0,1
BiRabittoh,2023-03-29,italy,921,1,1,0
BibiSebi,2023-03-31,austria,112,1,0,0
BilHim,2023-03-29,france,136,1,0,0
Binnette,2023-03-22,france,312,1,0,0
Binnette,2023-04-01,france,164,1,0,1
BioPhoton,2023-03-19,austria,170,1,0,0
BioPhoton,2023-04-03,austria,417,1,0,1
BishopWolf,2023-03-26,france,82,1,0,0
BishopWolf,2023-04-07,france,810,1,0,1
BlackStoneSheperd,2023-04-03,france,742,1,0,1
BlitzBanana,2023-03-29,france,376,3,0,0
BloodLantern,2023-03-20,france,0,1,0,0
BloodLantern,2023-03-21,france,67,1,0,0
BloodLantern,2023-03-29,france,0,3,0,0
BloodLantern,2023-04-07,france,0,1,0,1
BloomShell,2023-03-30,italy,1190,1,1,0
BloomyInDev,2023-03-31,france,394,1,0,0
Blu3train,2023-04-04,italy,110,1,1,1
BlueCutOfficial,2023-03-31,france,1303,1,0,0
BlueCutOfficial,2023-04-04,france,37,1,0,1
BlueCutOfficial,2023-04-07,france,185,1,0,1
BlueskyFR,2023-03-27,france,220,2,0,0
BlueskyFR,2023-04-06,france,721,1,0,1
Blunivers,2023-03-30,italy,1303,1,1,0
Bluzzi,2023-03-22,france,738,3,0,0
Bluzzi,2023-03-27,france,124,1,0,0
Bluzzi,2023-04-03,france,230,1,0,1
Bluzzi,2023-04-04,france,1174,3,0,1
Bluzzi,2023-04-05,france,1864,2,0,1
BoD,2023-03-22,france,934,1,0,0
BoD,2023-03-26,france,1234,1,0,0
BobAubouin,2023-03-29,france,83,1,0,0
Bobbianss,2023-04-03,italy,345,1,1,1
BoboTiG,2023-03-23,france,191,1,0,0
Bobox948,2023-03-22,france,999,1,0,0
BoostedDampi,2023-04-08,italy,267,1,1,1
Borahm,2023-04-02,austria,509,1,0,1
BotellaA,2023-03-20,france,0,1,0,0
BotellaA,2023-03-24,france,0,1,0,0
Bouh,2023-04-06,france,548,1,0,1
BouzCS,2023-03-29,france,509,1,0,0
Boyadjie,2023-03-22,france,372,1,0,0
Boyadjie,2023-03-23,france,1001,1,0,0
BragdonD,2023-03-23,france,2874,6,0,0
BraindeadHermit,2023-03-20,italy,0,4,1,0
BraindeadHermit,2023-03-27,italy,0,2,1,0
BraindeadHermit,2023-03-30,italy,0,1,1,0
BraindeadHermit,2023-04-02,italy,0,1,1,1
BraindeadHermit,2023-04-03,italy,0,1,1,1
Brancieq-Paul,2023-03-19,france,1922,4,0,0
Brancieq-Paul,2023-03-20,france,230,1,0,0
Brancieq-Paul,2023-03-21,france,584,6,0,0
Brancieq-Paul,2023-03-23,france,33,1,0,0
Brancieq-Paul,2023-03-25,france,540,2,0,0
Brancieq-Paul,2023-03-29,france,22,1,0,0
BrannJoly,2023-03-18,france,713,1,0,0
BriceLeduc,2023-03-19,france,302,1,0,0
BriceLeduc,2023-03-22,france,309,1,0,0
BriceLeduc,2023-04-04,france,149,1,0,1
Bricklou,2023-03-30,france,581,1,0,0
BrietGame,2023-03-28,france,21,1,0,0
BrietGame,2023-03-30,france,0,3,0,0
Brouilles,2023-04-05,france,1056,1,0,1
BrunoLevy,2023-03-22,france,553,1,0,0
BrunoLevy,2023-03-31,france,107,1,0,0
BrunoReboul,2023-03-22,france,0,1,0,0
BrunoReboul,2023-03-27,france,0,1,0,0
