username,event_date,release_id,country,organization_id,Y,D_tau_m3,D_tau_m2,D_tau_m1,D_tau_0,D_tau_1,D_tau_2,D_tau_3,D_tau_4
peter12908,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
peter12908,2023-03-30,,austria,,0,0,0,0,0,0,0,0,0
peter12908,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
peter12908,2023-04-03,,austria,,0,0,0,0,0,0,0,0,0
peter12908,2023-04-04,,austria,,0,0,0,0,0,0,0,0,0
peter12908,2023-04-05,98266149,austria,,1,0,0,0,0,0,0,0,0
peter12908,2023-04-06,,austria,,0,0,0,0,0,0,0,0,0
matmair,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
matmair,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
matmair,2023-03-30,,austria,,0,0,0,0,0,0,0,0,0
matmair,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
matmair,2023-04-03,,austria,,0,0,0,0,0,0,0,0,0
matmair,2023-04-04,98104724,austria,,1,0,0,0,0,0,0,0,0
matmair,2023-04-05,98240280,austria,,1,0,0,0,0,0,0,0,0
matmair,2023-04-06,,austria,,0,0,0,0,0,0,0,0,0
mlthelama,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
mlthelama,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
mlthelama,2023-03-30,,austria,,0,0,0,0,0,0,0,0,0
mlthelama,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
mlthelama,2023-04-03,,austria,,0,0,0,0,0,0,0,0,0
mlthelama,2023-04-04,,austria,,0,0,0,0,0,0,0,0,0
mlthelama,2023-04-05,98237154,austria,,1,0,0,0,0,0,0,0,0
mlthelama,2023-04-06,,austria,,0,0,0,0,0,0,0,0,0
andi-makes,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
andi-makes,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
andi-makes,2023-03-30,,austria,,0,0,0,0,0,0,0,0,0
andi-makes,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
andi-makes,2023-04-03,,austria,,0,0,0,0,0,0,0,0,0
andi-makes,2023-04-04,,austria,,0,0,0,0,0,0,0,0,0
andi-makes,2023-04-05,98236011,austria,106021233,1,0,0,0,0,0,0,0,0
andi-makes,2023-04-06,,austria,,0,0,0,0,0,0,0,0,0
webchills,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
webchills,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
webchills,2023-03-30,,austria,,0,0,0,0,0,0,0,0,0
webchills,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
webchills,2023-04-03,,austria,,0,0,0,0,0,0,0,0,0
webchills,2023-04-04,,austria,,0,0,0,0,0,0,0,0,0
webchills,2023-04-05,98229213,austria,18315119,1,0,0,0,0,0,0,0,0
webchills,2023-04-06,,austria,,0,0,0,0,0,0,0,0,0
holzeis,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
holzeis,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
holzeis,2023-03-30,,austria,,0,0,0,0,0,0,0,0,0
holzeis,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
holzeis,2023-04-03,,austria,,0,0,0,0,0,0,0,0,0
holzeis,2023-04-04,,austria,,0,0,0,0,0,0,0,0,0
holzeis,2023-04-05,98224409,austria,,1,0,0,0,0,0,0,0,0
holzeis,2023-04-06,,austria,,0,0,0,0,0,0,0,0,0
emuskardin,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
emuskardin,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
emuskardin,2023-03-30,,austria,,0,0,0,0,0,0,0,0,0
emuskardin,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
emuskardin,2023-04-03,,austria,,0,0,0,0,0,0,0,0,0
emuskardin,2023-04-04,,austria,,0,0,0,0,0,0,0,0,0
emuskardin,2023-04-05,98220482,austria,81631731,1,0,0,0,0,0,0,0,0
emuskardin,2023-04-06,,austria,,0,0,0,0,0,0,0,0,0
Namoshek,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
Namoshek,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
Namoshek,2023-03-30,,austria,,0,0,0,0,0,0,0,0,0
Namoshek,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
Namoshek,2023-04-03,,austria,,0,0,0,0,0,0,0,0,0
Namoshek,2023-04-04,,austria,,0,0,0,0,0,0,0,0,0
Namoshek,2023-04-05,98220006,austria,55314286,1,0,0,0,0,0,0,0,0
Namoshek,2023-04-06,,austria,,0,0,0,0,0,0,0,0,0
s00500,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
s00500,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
s00500,2023-03-30,,austria,,0,0,0,0,0,0,0,0,0
s00500,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
s00500,2023-04-03,,austria,,0,0,0,0,0,0,0,0,0
s00500,2023-04-04,,austria,,0,0,0,0,0,0,0,0,0
s00500,2023-04-05,98218678,austria,46759916,1,0,0,0,0,0,0,0,0
s00500,2023-04-06,,austria,,0,0,0,0,0,0,0,0,0
egreiner,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
egreiner,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
egreiner,2023-03-30,,austria,,0,0,0,0,0,0,0,0,0
egreiner,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
egreiner,2023-04-03,,austria,,0,0,0,0,0,0,0,0,0
egreiner,2023-04-04,98059441,austria,,1,0,0,0,0,0,0,0,0
egreiner,2023-04-05,98218674,austria,,1,0,0,0,0,0,0,0,0
egreiner,2023-04-06,,austria,,0,0,0,0,0,0,0,0,0
defconst,2023-03-28,,austria,,0,0,0,0,0,0,0,0,0
defconst,2023-03-29,,austria,,0,0,0,0,0,0,0,0,0
defconst,2023-03-30,,austria,,0,0,0,0,0,0,0,0,0
defconst,2023-03-31,,austria,,0,0,0,0,0,0,0,0,0
defconst,2023-04-03,,austria,,0,0,0,0,0,0,0,0,0
defconst,2023-04-04,,austria,,0,0,0,0,0,0,0,0,0
defconst,2023-04-05,98211366,austria,16667641,1,0,0,0,0,0,0,0,0
defconst,2023-04-06,,austria,,0,0,0,0,0,0,0,0,0
