repo,country_commits,total_commits,country_ratio,repo_url
TheSilvered/nest,437,437,1.0,https://github.com/TheSilvered/nest
MatteoH2O1999/MatteoH2O1999.github.io,333,436,0.7637614678899083,https://github.com/MatteoH2O1999/MatteoH2O1999.github.io
NonQueueingMatt/Aurora.3,431,435,0.9908045977011494,https://github.com/NonQueueingMatt/Aurora.3
D3vil0p3r/blackarch,406,433,0.9376443418013856,https://github.com/D3vil0p3r/blackarch
chumpblocckami/vedalken_count,433,433,1.0,https://github.com/chumpblocckami/vedalken_count
fcattafesta/FlashSim-Electrons,432,432,1.0,https://github.com/fcattafesta/FlashSim-Electrons
89luca89/distrobox,430,430,1.0,https://github.com/89luca89/distrobox
MakinDay/reactivedrop_translations,417,428,0.9742990654205608,https://github.com/MakinDay/reactivedrop_translations
ugol/jr,426,428,0.9953271028037384,https://github.com/ugol/jr
Lamer87/Space_Engineers_DLC_unlocker,427,427,1.0,https://github.com/Lamer87/Space_Engineers_DLC_unlocker
ismir2023/ismir2023.github.io,417,427,0.9765807962529274,https://github.com/ismir2023/ismir2023.github.io
HeDo88TH/ODMSemantic3D,414,425,0.9741176470588236,https://github.com/HeDo88TH/ODMSemantic3D
acoshirabbit/acoshirabbit.github.io,425,425,1.0,https://github.com/acoshirabbit/acoshirabbit.github.io
Scavix/mydigitalgarden,425,425,1.0,https://github.com/Scavix/mydigitalgarden
openforis/sepal,423,424,0.9976415094339622,https://github.com/openforis/sepal
Velitch/gabrielavelitch,424,424,1.0,https://github.com/Velitch/gabrielavelitch
mateonunez/website,382,418,0.9138755980861244,https://github.com/mateonunez/website
miroslavpejic85/mirotalksfu,418,418,1.0,https://github.com/miroslavpejic85/mirotalksfu
Roma-JS/roma-js-on-astro,401,417,0.9616306954436452,https://github.com/Roma-JS/roma-js-on-astro
diowa/ruby3-rails6-bootstrap-heroku,374,416,0.8990384615384616,https://github.com/diowa/ruby3-rails6-bootstrap-heroku
JetBrains/jewel,393,413,0.9515738498789348,https://github.com/JetBrains/jewel
UniprJRC/DSconMATLAB,406,410,0.9902439024390244,https://github.com/UniprJRC/DSconMATLAB
lballabio/QuantLib,393,406,0.9679802955665024,https://github.com/lballabio/QuantLib
kennethbunker/kennethbunker.github.io,404,404,1.0,https://github.com/kennethbunker/kennethbunker.github.io
AnacletoLAB/ensmallen,400,400,1.0,https://github.com/AnacletoLAB/ensmallen
MarcoAntolini/Memed,300,400,0.75,https://github.com/MarcoAntolini/Memed
wolf4ood/tractusx-edc,399,399,1.0,https://github.com/wolf4ood/tractusx-edc
olivierfriard/BORIS,397,397,1.0,https://github.com/olivierfriard/BORIS
matteo-cristino/Zenroom,395,397,0.9949622166246852,https://github.com/matteo-cristino/Zenroom
BlinkingEmotions/Fanfare,396,396,1.0,https://github.com/BlinkingEmotions/Fanfare
bopen/c3s-eqc-toolbox-template,393,393,1.0,https://github.com/bopen/c3s-eqc-toolbox-template
